,0
920,9249.49
921,9162.21
922,9012
923,9116.35
924,9192.56
925,9138.55
926,9232
927,9086.54
928,9058.26
929,9135.46
930,9069.41
931,9344.2
932,9257.39
933,9436.06
934,9232.43
935,9288.34
936,9234.03
937,9302.75
938,9242.62
939,9255.85
940,9197.6
941,9133.72
942,9154.32
943,9170.28
944,9208.99
945,9160.78
946,9390
947,9518.16
948,9603.27
949,9537.8
950,9700.42
951,9931.54
952,11029.96
953,10906.27
954,11100.53
955,11099.61
956,11335.46
957,11801.17
958,11071.35
959,11219.81
960,11191.97
961,11744.91
962,11762.46
963,11594.23
964,11761.41
965,11681.68
966,11892.92
967,11392.08
968,11564.33
969,11780
970,11760.54
971,11852.4
972,11911
973,12281.13
974,11945.01
975,11754.59
976,11853.55
977,11531.34
978,11662.96
979,11648.13
980,11748.2
981,11318.42
982,11461.43
983,11330.38
984,11526.91
985,11465.84
986,11711.16
987,11649.51
988,11921.97
989,11388.54
990,10140.85
991,10446.25
992,10166.69
993,10256.2
994,10373.44
995,10126.65
996,10219.2
997,10336.87
998,10387.89
999,10440.92
1000,10332.83
1001,10671.77
1002,10785.31
1003,10954.01
1004,10939.99
1005,10933.39
1006,11080.65
1007,10920.28
1008,10417.22
1009,10529.61
1010,10241.46
1011,10736.32
1012,10686.67
1013,10728.6
1014,10774.25
1015,10696.12
1016,10840.48
1017,10776.59
1018,10619.13
1019,10570.4
1020,10542.06
1021,10666.63
1022,10792.21
1023,10599.66
1024,10666.39
1025,10925.57
1026,11050.64
1027,11293.22
1028,11369.02
1029,11528.25
1030,11420.56
1031,11417.89
1032,11505.12
1033,11319.32
1034,11360.2
1035,11503.14
1036,11751.47
1037,11909.99
1038,12780.96
1039,12968.52
1040,12923.07
1041,13111.73
1042,13028.83
1043,13052.19
1044,13636.17
1045,13266.4
1046,13455.7
1047,13560.1
1048,13791
1049,13761.5
1050,13549.37
1051,14023.53
1052,14144.01
1053,15590.02
1054,15579.92
1055,14818.3
1056,15475.1
1057,15328.41
